ID X PCODE,Label
F86J5PC X P5DA,0
F86J5PC X RIBP,0
F86J5PC X 8NN1,0
F86J5PC X 7POT,0
F86J5PC X 66FJ,0
F86J5PC X GYSR,0
F86J5PC X SOP4,0
F86J5PC X RVSZ,1
F86J5PC X PYUQ,0
F86J5PC X LJR9,0
F86J5PC X N2MW,0
F86J5PC X AHXO,0
F86J5PC X BSTQ,0
F86J5PC X FM3X,0
F86J5PC X K6QO,0
F86J5PC X QBOL,0
F86J5PC X JWFN,0
F86J5PC X JZ9D,0
F86J5PC X J9JW,0
F86J5PC X GHYX,0
F86J5PC X ECY3,0
H6141K3 X P5DA,0
H6141K3 X RIBP,0
H6141K3 X 8NN1,0
H6141K3 X 7POT,0
H6141K3 X 66FJ,0
H6141K3 X GYSR,0
H6141K3 X SOP4,0
H6141K3 X RVSZ,1
H6141K3 X PYUQ,0
H6141K3 X LJR9,0
H6141K3 X N2MW,0
H6141K3 X AHXO,0
H6141K3 X BSTQ,0
H6141K3 X FM3X,0
H6141K3 X K6QO,1
H6141K3 X QBOL,0
H6141K3 X JWFN,0
H6141K3 X JZ9D,0
H6141K3 X J9JW,0
H6141K3 X GHYX,0
H6141K3 X ECY3,0
RBAYUXZ X P5DA,0
RBAYUXZ X RIBP,0
RBAYUXZ X 8NN1,0
RBAYUXZ X 7POT,0
RBAYUXZ X 66FJ,0
RBAYUXZ X GYSR,0
RBAYUXZ X SOP4,0
RBAYUXZ X RVSZ,1
RBAYUXZ X PYUQ,0
RBAYUXZ X LJR9,0
RBAYUXZ X N2MW,0
RBAYUXZ X AHXO,0
RBAYUXZ X BSTQ,0
RBAYUXZ X FM3X,0
RBAYUXZ X K6QO,1
RBAYUXZ X QBOL,0
RBAYUXZ X JWFN,0
RBAYUXZ X JZ9D,0
RBAYUXZ X J9JW,0
RBAYUXZ X GHYX,0
RBAYUXZ X ECY3,0
KCBILBQ X P5DA,0
KCBILBQ X RIBP,0
KCBILBQ X 8NN1,0
KCBILBQ X 7POT,0
KCBILBQ X 66FJ,0
KCBILBQ X GYSR,0
KCBILBQ X SOP4,0
KCBILBQ X RVSZ,1
KCBILBQ X PYUQ,0
KCBILBQ X LJR9,0
KCBILBQ X N2MW,0
KCBILBQ X AHXO,0
KCBILBQ X BSTQ,0
KCBILBQ X FM3X,0
KCBILBQ X K6QO,0
KCBILBQ X QBOL,0
KCBILBQ X JWFN,0
KCBILBQ X JZ9D,0
KCBILBQ X J9JW,0
KCBILBQ X GHYX,0
KCBILBQ X ECY3,0
LSEC1ZJ X P5DA,0
LSEC1ZJ X RIBP,0
LSEC1ZJ X 8NN1,0
LSEC1ZJ X 7POT,0
LSEC1ZJ X 66FJ,0
LSEC1ZJ X GYSR,0
LSEC1ZJ X SOP4,0
LSEC1ZJ X RVSZ,0
LSEC1ZJ X PYUQ,0
LSEC1ZJ X LJR9,0
LSEC1ZJ X N2MW,0
LSEC1ZJ X AHXO,0
LSEC1ZJ X BSTQ,0
LSEC1ZJ X FM3X,0
LSEC1ZJ X K6QO,0
LSEC1ZJ X QBOL,0
LSEC1ZJ X JWFN,0
